Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear,WorkingDays
1960-01-01,0.406358288,0.203179144,0.203179144,0.203179144,-0.796820856,0.203179144,0.75,-0.288872996
1960-04-01,0.593641712,0.796820856,0.796820856,0.796820856,0.796820856,0.796820856,0,1.788872996
1960-07-01,-1,0,0,-1,1,0,0,-1
1960-10-01,1,0,1,1,0,2,0,-2
1961-01-01,1.406358288,1.203179144,1.203179144,1.203179144,1.203179144,0.203179144,-0.25,5.711127004
1961-04-01,-1.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-1.711127004
1961-07-01,0,-1,0,0,-1,1,0,-4.5
1961-10-01,-2,-1,-2,-1,-1,-2,0,-2
1962-01-01,0.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,-0.25,2.211127004
1962-04-01,-0.406358288,-1.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-1.711127004
1962-07-01,-1,-1,-2,-1,-1,-2,0,-1
1962-10-01,2,0,1,0,1,1,0,1.5
1963-01-01,-0.593641712,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
1963-04-01,-0.406358288,-0.203179144,-1.203179144,-0.203179144,-0.203179144,-0.203179144,0,-1.711127004
1963-07-01,2,1,1,0,1,1,0,2.5
1963-10-01,-1,1,-1,0,-1,0,0,-2
1964-01-01,-1.593641712,-0.796820856,-1.796820856,-0.796820856,-0.796820856,-0.796820856,0.75,-3.788872996
1964-04-01,1.593641712,0.796820856,0.796820856,0.796820856,-0.203179144,0.796820856,0,1.788872996
1964-07-01,0,-1,1,0,0,-1,0,2.5
1964-10-01,1,1,0,2,0,1,0,1.5
1965-01-01,0.406358288,0.203179144,0.203179144,-0.796820856,-0.796820856,0.203179144,-0.25,-1.288872996
1965-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-1.203179144,0,1.788872996
1965-07-01,1,1,0,2,1,1,0,2.5
1965-10-01,-1,0,0,-1,1,-1,0,1.5
1966-01-01,0.406358288,0.203179144,0.203179144,0.203179144,-0.796820856,-0.796820856,-0.25,2.211127004
1966-04-01,0.593641712,0.796820856,0.796820856,0.796820856,0.796820856,0.796820856,0,1.788872996
1966-07-01,-1,0,0,-1,1,0,0,-1
1966-10-01,1,0,1,1,0,2,0,-2
1967-01-01,-0.593641712,0.203179144,0.203179144,0.203179144,0.203179144,-0.796820856,-0.25,2.211127004
1967-04-01,0.593641712,0.796820856,0.796820856,0.796820856,0.796820856,0.796820856,0,1.788872996
1967-07-01,0,-1,0,0,-1,1,0,-4.5
1967-10-01,-2,-1,-2,-1,-1,-2,0,-2
1968-01-01,-0.593641712,0.203179144,0.203179144,0.203179144,0.203179144,0.203179144,0.75,-0.288872996
1968-04-01,-0.406358288,-0.203179144,-1.203179144,-0.203179144,-0.203179144,-0.203179144,0,-1.711127004
1968-07-01,2,1,1,0,1,1,0,2.5
1968-10-01,-1,1,-1,0,-1,0,0,-2
1969-01-01,0.406358288,-0.796820856,-0.796820856,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
1969-04-01,-0.406358288,-0.203179144,-0.203179144,-1.203179144,-0.203179144,-0.203179144,0,-1.711127004
1969-07-01,-1,1,0,0,-1,0,0,-1
1969-10-01,0,-1,1,-1,0,-1,0,1.5
1970-01-01,-1.593641712,-0.796820856,-1.796820856,-1.796820856,-0.796820856,-0.796820856,-0.25,-4.788872996
1970-04-01,1.593641712,0.796820856,0.796820856,0.796820856,-0.203179144,0.796820856,0,1.788872996
1970-07-01,0,-1,1,0,0,-1,0,2.5
1970-10-01,1,1,0,2,0,1,0,1.5
1971-01-01,0.406358288,0.203179144,0.203179144,-0.796820856,-0.796820856,0.203179144,-0.25,-1.288872996
1971-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-1.203179144,0,1.788872996
1971-07-01,1,1,0,2,1,1,0,2.5
1971-10-01,-1,0,0,-1,1,-1,0,1.5
1972-01-01,0.406358288,0.203179144,0.203179144,0.203179144,0.203179144,-0.796820856,0.75,3.211127004
1972-04-01,-1.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-1.711127004
1972-07-01,0,-1,0,0,-1,1,0,-4.5
1972-10-01,-2,-1,-2,-1,-1,-2,0,-2
1973-01-01,0.406358288,1.203179144,1.203179144,1.203179144,1.203179144,1.203179144,-0.25,2.211127004
1973-04-01,-0.406358288,-1.203179144,-0.203179144,-0.203179144,-0.203179144,-0.203179144,0,-1.711127004
1973-07-01,-1,-1,-2,-1,-1,-2,0,-1
1973-10-01,2,0,1,0,1,1,0,1.5
1974-01-01,-0.593641712,-0.796820856,0.203179144,0.203179144,0.203179144,0.203179144,-0.25,-1.288872996
1974-04-01,-0.406358288,-0.203179144,-1.203179144,-0.203179144,-0.203179144,-0.203179144,0,-1.711127004
1974-07-01,2,1,1,0,1,1,0,2.5
1974-10-01,-1,1,-1,0,-1,0,0,-2
1975-01-01,-1.593641712,-1.796820856,-1.796820856,-0.796820856,-0.796820856,-0.796820856,-0.25,-4.788872996
1975-04-01,1.593641712,0.796820856,0.796820856,-0.203179144,0.796820856,0.796820856,0,1.788872996
1975-07-01,-1,1,0,0,-1,0,0,-1
1975-10-01,0,-1,1,-1,0,-1,0,1.5
1976-01-01,0.406358288,0.203179144,0.203179144,-0.796820856,0.203179144,0.203179144,0.75,-0.288872996
1976-04-01,-0.406358288,-0.203179144,-0.203179144,-0.203179144,-0.203179144,-1.203179144,0,1.788872996
1976-07-01,1,1,0,2,1,1,0,2.5
1976-10-01,-1,0,0,-1,1,-1,0,1.5
1977-01-01,0.406358288,0.203179144,0.203179144,0.203179144,-0.796820856,-0.796820856,-0.25,2.211127004
1977-04-01,0.593641712,0.796820856,0.796820856,0.796820856,0.796820856,0.796820856,0,1.788872996
1977-07-01,-1,0,0,-1,1,0,0,-1
1977-10-01,1,0,1,1,0,2,0,-2
