Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear,WorkingDays
1960-01-01,-1,-1,-1,-1,-1,0,0,-5
1960-02-01,1,0,0,0,0,0,0.75,1
1960-03-01,0.711127004,1.50794786,1.50794786,1.50794786,0.812716576,0.50794786,0,4.777817511
1960-04-01,-0.706289406,-0.503110261,-0.503110261,-0.498272663,0.192121022,0.496889739,0,-3.260885915
1960-05-01,2.177511329,1.567973897,0.567973897,0.526410362,0.567973897,0.567973897,0,3.98790864
1960-06-01,-1.182348928,-0.572811496,0.427188504,0.463914441,-0.572811496,-0.572811496,0,-0.004840235
1960-07-01,-1,-1,-1,-1,0,0,0,-4
1960-08-01,1,1,1,0,0,0,0,3
1960-09-01,0,0,0,1,1,0,0,2
1960-10-01,0,-1,-1,-1,-1,0,0,-4
1960-11-01,0,1,1,0,0,0,0,2
1960-12-01,0,1,1,2,2,2,0,1
1961-01-01,1,1,0,0,0,0,0,2
1961-02-01,0,0,0,0,0,0,-0.25,0
1961-03-01,-0.288872996,-0.49205214,0.50794786,0.50794786,-0.187283424,-0.49205214,0,1.277817511
1961-04-01,-0.706289406,-0.503110261,-0.503110261,-0.498272663,0.192121022,0.496889739,0,-3.260885915
1961-05-01,-0.822488671,0.567973897,0.567973897,-0.473589638,-0.432026103,-0.432026103,0,0.48790864
1961-06-01,0.817651072,0.427188504,0.427188504,1.463914441,1.427188504,0.427188504,0,3.495159765
1961-07-01,0,-1,-1,-1,-1,0,0,-4
1961-08-01,0,1,1,1,0,0,0,3
1961-09-01,0,0,0,0,1,1,0,-1.5
1961-10-01,0,0,-1,-1,-1,-1,0,-0.5
1961-11-01,0,0,1,1,0,0,0,2
1961-12-01,-2,-2,-1,-1,0,0,0,-6
1962-01-01,0,1,1,0,0,0,0,2
1962-02-01,0,0,0,0,0,0,-0.25,0
1962-03-01,0.711127004,0.50794786,0.50794786,1.50794786,1.812716576,1.50794786,0,1.277817511
1962-04-01,-0.706289406,-1.503110261,-1.503110261,-1.498272663,-1.807878978,-1.503110261,0,-3.260885915
1962-05-01,1.177511329,0.567973897,1.567973897,1.526410362,0.567973897,0.567973897,0,3.98790864
1962-06-01,-1.182348928,-0.572811496,-0.572811496,-0.536085559,0.427188504,0.427188504,0,-3.504840235
1962-07-01,0,0,-1,-1,-1,-1,0,-0.5
1962-08-01,0,0,1,1,1,0,0,3
1962-09-01,-1,-1,-1,-1,-1,0,0,-5
1962-10-01,1,1,1,0,0,0,0,3
1962-11-01,0,0,0,1,1,0,0,2
1962-12-01,0,-2,-2,-1,-1,0,0,-6
1963-01-01,0,0,1,1,0,0,0,2
1963-02-01,0,0,0,0,0,0,-0.25,0
1963-03-01,-0.288872996,-0.49205214,-0.49205214,-0.49205214,0.812716576,0.50794786,0,-2.222182489
1963-04-01,0.293710594,0.496889739,-0.503110261,-0.498272663,-0.807878978,-0.503110261,0,0.239114085
1963-05-01,1.177511329,0.567973897,0.567973897,1.526410362,1.567973897,0.567973897,0,3.98790864
1963-06-01,-2.182348928,-1.572811496,-1.572811496,-1.536085559,-1.572811496,-0.572811496,0,-7.004840235
1963-07-01,1,1,1,0,0,0,0,3
1963-08-01,0,0,0,1,1,1,0,-0.5
1963-09-01,0,-1,-1,-1,-1,-1,0,-1.5
1963-10-01,0,1,1,1,0,0,0,3
1963-11-01,0,0,0,0,1,1,0,-1.5
1963-12-01,0,0,-2,-2,-1,-1,0,-2.5
1964-01-01,0,0,0,1,1,0,0,2
1964-02-01,0,0,0,0,0,1,0.75,-2.5
1964-03-01,-2.288872996,-1.49205214,-2.49205214,-2.49205214,-3.187283424,-2.49205214,0,-5.722182489
1964-04-01,2.293710594,1.496889739,2.496889739,2.501727337,2.192121022,1.496889739,0,7.239114085
1964-05-01,-1.822488671,-1.432026103,-1.432026103,-1.473589638,-1.432026103,-0.432026103,0,-6.51209136
1964-06-01,1.817651072,1.427188504,0.427188504,0.463914441,0.427188504,0.427188504,0,3.495159765
1964-07-01,0,0,1,1,1,0,0,3
1964-08-01,0,-1,-1,-1,-1,0,0,-4
1964-09-01,0,1,1,0,0,0,0,2
1964-10-01,0,0,0,1,1,1,0,-0.5
