Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear,WorkingDays
1960-01-01,0.711127004,0.50794786,0.50794786,0.50794786,-0.187283424,0.50794786,0.75,0.777817511
1960-04-01,0.288872996,0.49205214,0.49205214,0.49205214,0.187283424,0.49205214,0,0.722182489
1960-07-01,0,0,0,0,1,0,0,1
1960-10-01,0,1,1,1,1,2,0,-1
1961-01-01,0.711127004,0.50794786,0.50794786,0.50794786,-0.187283424,-0.49205214,-0.25,3.277817511
1961-04-01,-0.711127004,0.49205214,0.49205214,0.49205214,1.187283424,0.49205214,0,0.722182489
1961-07-01,0,0,0,0,0,1,0,-2.5
1961-10-01,-2,-2,-1,-1,-1,-1,0,-4.5
1962-01-01,0.711127004,1.50794786,1.50794786,1.50794786,1.812716576,1.50794786,-0.25,3.277817511
1962-04-01,-0.711127004,-1.50794786,-0.50794786,-0.50794786,-0.812716576,-0.50794786,0,-2.777817511
1962-07-01,-1,-1,-1,-1,-1,-1,0,-2.5
1962-10-01,1,-1,-1,0,0,0,0,-1
1963-01-01,-0.288872996,-0.49205214,0.50794786,0.50794786,0.812716576,0.50794786,-0.25,-0.222182489
1963-04-01,-0.711127004,-0.50794786,-1.50794786,-0.50794786,-0.812716576,-0.50794786,0,-2.777817511
1963-07-01,1,0,0,0,0,0,0,1
1963-10-01,0,1,-1,-1,0,0,0,-1
1964-01-01,-2.288872996,-1.49205214,-2.49205214,-1.49205214,-2.187283424,-1.49205214,0.75,-6.222182489
1964-04-01,2.288872996,1.49205214,1.49205214,1.49205214,1.187283424,1.49205214,0,4.222182489
1964-07-01,0,0,1,0,0,0,0,1
1964-10-01,0,0,0,1,-1,-1,0,2.5
1965-01-01,0.711127004,0.50794786,0.50794786,-0.49205214,-0.187283424,0.50794786,-0.25,-0.222182489
1965-04-01,-0.711127004,-0.50794786,-0.50794786,-0.50794786,-0.812716576,-1.50794786,0,0.722182489
1965-07-01,0,0,0,1,0,0,0,1
1965-10-01,1,1,1,1,2,0,0,6
1966-01-01,0.711127004,0.50794786,0.50794786,0.50794786,-0.187283424,-0.49205214,-0.25,3.277817511
1966-04-01,0.288872996,0.49205214,0.49205214,0.49205214,0.187283424,0.49205214,0,0.722182489
1966-07-01,0,0,0,0,1,0,0,1
1966-10-01,0,1,1,1,1,2,0,-1
1967-01-01,-1.288872996,-0.49205214,-0.49205214,-0.49205214,-1.187283424,-1.49205214,-0.25,-0.222182489
1967-04-01,1.288872996,1.49205214,1.49205214,1.49205214,2.187283424,1.49205214,0,4.222182489
1967-07-01,0,0,0,0,0,1,0,-2.5
1967-10-01,-2,-2,-1,-1,-1,-1,0,-4.5
1968-01-01,-0.288872996,0.50794786,0.50794786,0.50794786,0.812716576,0.50794786,0.75,0.777817511
1968-04-01,-0.711127004,-0.50794786,-1.50794786,-0.50794786,-0.812716576,-0.50794786,0,-2.777817511
1968-07-01,1,0,0,0,0,0,0,1
1968-10-01,0,1,-1,-1,0,0,0,-1
1969-01-01,0.711127004,-0.49205214,-0.49205214,0.50794786,0.812716576,0.50794786,-0.25,-0.222182489
1969-04-01,-0.711127004,-0.50794786,-0.50794786,-1.50794786,-0.812716576,-0.50794786,0,-2.777817511
1969-07-01,0,1,0,0,0,0,0,1
1969-10-01,0,0,1,-1,-1,0,0,-1
1970-01-01,-2.288872996,-1.49205214,-2.49205214,-2.49205214,-2.187283424,-1.49205214,-0.25,-7.222182489
1970-04-01,2.288872996,1.49205214,1.49205214,1.49205214,1.187283424,1.49205214,0,4.222182489
1970-07-01,0,0,1,0,0,0,0,1
1970-10-01,0,0,0,1,-1,-1,0,2.5
1971-01-01,0.711127004,0.50794786,0.50794786,-0.49205214,-0.187283424,0.50794786,-0.25,-0.222182489
1971-04-01,-0.711127004,-0.50794786,-0.50794786,-0.50794786,-0.812716576,-1.50794786,0,0.722182489
1971-07-01,0,0,0,1,0,0,0,1
1971-10-01,1,1,1,1,2,0,0,6
1972-01-01,-0.288872996,-0.49205214,-0.49205214,-0.49205214,-1.187283424,-1.49205214,0.75,0.777817511
1972-04-01,-0.711127004,0.49205214,0.49205214,0.49205214,1.187283424,0.49205214,0,0.722182489
1972-07-01,0,0,0,0,0,1,0,-2.5
1972-10-01,-2,-2,-1,-1,-1,-1,0,-4.5
1973-01-01,0.711127004,1.50794786,1.50794786,1.50794786,1.812716576,1.50794786,-0.25,3.277817511
1973-04-01,-0.711127004,-1.50794786,-0.50794786,-0.50794786,-0.812716576,-0.50794786,0,-2.777817511
1973-07-01,-1,-1,-1,-1,-1,-1,0,-2.5
1973-10-01,1,-1,-1,0,0,0,0,-1
1974-01-01,-0.288872996,-0.49205214,0.50794786,0.50794786,0.812716576,0.50794786,-0.25,-0.222182489
1974-04-01,-0.711127004,-0.50794786,-1.50794786,-0.50794786,-0.812716576,-0.50794786,0,-2.777817511
1974-07-01,1,0,0,0,0,0,0,1
1974-10-01,0,1,-1,-1,0,0,0,-1
1975-01-01,-2.288872996,-2.49205214,-2.49205214,-1.49205214,-2.187283424,-1.49205214,-0.25,-7.222182489
1975-04-01,2.288872996,1.49205214,1.49205214,0.49205214,2.187283424,1.49205214,0,4.222182489
1975-07-01,0,1,0,0,0,0,0,1
1975-10-01,0,0,1,-1,-1,0,0,-1
1976-01-01,0.711127004,0.50794786,0.50794786,-0.49205214,0.812716576,0.50794786,0.75,0.777817511
1976-04-01,-0.711127004,-0.50794786,-0.50794786,-0.50794786,-0.812716576,-1.50794786,0,0.722182489
1976-07-01,0,0,0,1,0,0,0,1
1976-10-01,1,1,1,1,2,0,0,6
1977-01-01,0.711127004,0.50794786,0.50794786,0.50794786,-0.187283424,-0.49205214,-0.25,3.277817511
1977-04-01,0.288872996,0.49205214,0.49205214,0.49205214,0.187283424,0.49205214,0,0.722182489
1977-07-01,0,0,0,0,1,0,0,1
1977-10-01,0,1,1,1,1,2,0,-1
1978-01-01,-1.288872996,-0.49205214,-0.49205214,-0.49205214,-1.187283424,-1.49205214,-0.25,-0.222182489
1978-04-01,1.288872996,1.49205214,1.49205214,1.49205214,2.187283424,1.49205214,0,4.222182489
1978-07-01,0,0,0,0,0,1,0,-2.5
1978-10-01,-2,-2,-1,-1,-1,-1,0,-4.5
1979-01-01,0.711127004,1.50794786,1.50794786,1.50794786,1.812716576,1.50794786,-0.25,3.277817511
1979-04-01,-0.711127004,-1.50794786,-0.50794786,-0.50794786,-0.812716576,-0.50794786,0,-2.777817511
1979-07-01,-1,-1,-1,-1,-1,-1,0,-2.5
1979-10-01,1,-1,-1,0,0,0,0,-1
1980-01-01,0.711127004,-0.49205214,0.50794786,0.50794786,0.812716576,0.50794786,0.75,0.777817511
1980-04-01,-0.711127004,-0.50794786,-0.50794786,-1.50794786,-0.812716576,-0.50794786,0,-2.777817511
1980-07-01,0,1,0,0,0,0,0,1
1980-10-01,0,0,1,-1,-1,0,0,-1
1981-01-01,0.711127004,0.50794786,-0.49205214,-0.49205214,0.812716576,0.50794786,-0.25,-0.222182489
1981-04-01,-0.711127004,-0.50794786,-0.50794786,-0.50794786,-1.812716576,-0.50794786,0,-2.777817511
1981-07-01,0,0,1,0,0,0,0,1
1981-10-01,0,0,0,1,-1,-1,0,2.5
1982-01-01,0.711127004,0.50794786,0.50794786,-0.49205214,-0.187283424,0.50794786,-0.25,-0.222182489
1982-04-01,-0.711127004,-0.50794786,-0.50794786,-0.50794786,-0.812716576,-1.50794786,0,0.722182489
1982-07-01,0,0,0,1,0,0,0,1
1982-10-01,1,1,1,1,2,0,0,6
1983-01-01,0.711127004,0.50794786,0.50794786,0.50794786,-0.187283424,-0.49205214,-0.25,3.277817511
1983-04-01,0.288872996,0.49205214,0.49205214,0.49205214,0.187283424,0.49205214,0,0.722182489
1983-07-01,0,0,0,0,1,0,0,1
1983-10-01,0,1,1,1,1,2,0,-1
1984-01-01,1.711127004,1.50794786,1.50794786,1.50794786,1.812716576,1.50794786,0.75,4.277817511
1984-04-01,-0.711127004,-1.50794786,-0.50794786,-0.50794786,-0.812716576,-0.50794786,0,-2.777817511
1984-07-01,-1,-1,-1,-1,-1,-1,0,-2.5
1984-10-01,1,-1,-1,0,0,0,0,-1
1985-01-01,-0.288872996,-0.49205214,0.50794786,0.50794786,0.812716576,0.50794786,-0.25,-0.222182489
1985-04-01,-0.711127004,-0.50794786,-1.50794786,-0.50794786,-0.812716576,-0.50794786,0,-2.777817511
1985-07-01,1,0,0,0,0,0,0,1
1985-10-01,0,1,-1,-1,0,0,0,-1
1986-01-01,-2.288872996,-2.49205214,-2.49205214,-1.49205214,-2.187283424,-1.49205214,-0.25,-7.222182489
1986-04-01,2.288872996,1.49205214,1.49205214,0.49205214,2.187283424,1.49205214,0,4.222182489
1986-07-01,0,1,0,0,0,0,0,1
1986-10-01,0,0,1,-1,-1,0,0,-1
1987-01-01,0.711127004,0.50794786,-0.49205214,-0.49205214,0.812716576,0.50794786,-0.25,-0.222182489
1987-04-01,-0.711127004,-0.50794786,-0.50794786,-0.50794786,-1.812716576,-0.50794786,0,-2.777817511
1987-07-01,0,0,1,0,0,0,0,1
1987-10-01,0,0,0,1,-1,-1,0,2.5
1988-01-01,0.711127004,0.50794786,0.50794786,0.50794786,-0.187283424,0.50794786,0.75,0.777817511
1988-04-01,0.288872996,0.49205214,0.49205214,0.49205214,0.187283424,0.49205214,0,0.722182489
1988-07-01,0,0,0,0,1,0,0,1
1988-10-01,0,1,1,1,1,2,0,-1
1989-01-01,-1.288872996,-0.49205214,-0.49205214,-0.49205214,-1.187283424,-1.49205214,-0.25,-0.222182489
